pk,caption_text,output,inference_time
3186769071597465545,"True or False: You can have a PSL from Starbucks everyday and still lose weight. . . . . . . True. Believe it or not, you can diet for fat loss and still have Starbucks. You just need to be more mindful of the decisions youre making throughout the other hours of the day. A grande (16 fl oz) Pumpkin Spice Latte is delicious and clocks in at 390 calories. Compare that to the same size Mocha Cookie Crumble Frappuccino, and youre drinking 90 fewer calories per order. (480 calories in the Frappuccino.) What am I getting at? But thats only 90 calories difference. Yes, but thats 630 calories a week. 2,520 calories a month. Thats an entire extra day of eating essentially, but by consuming 90 extra calories per order. Long story short: Stop ordering milk shakes disguised as coffee and youll be alright. If you insist on getting a coffee flavored milkshake, consider what else youre eating throughout the day and adjust as needed.",No,0.15669798851013184
3186756710294100393,"I made these homemade spelt bread rolls today with chia seeds, pumpkin seeds, honey and olive oil in them, and by the way there wheat free, perfect for me.",Yes,0.1567840576171875
3186699487121190492,"If you are sweet treat whore like me drop what you are doing because this mess is a game changer. Vanilla yogurt, mix in PB2, melt some Lillys chocolate chips, drizzle on top add crushed peanuts. I didnt measure anything I just wanted to try it. Wholly shitballs its amazing!",Yes,0.18204784393310547
3186683138670456945,"We are really working on this and our house. Healthy food swaps are easy to make! By swapping out unhealthy foods for healthier choices, you can reduce your intake of saturated fats, refined sugars, and other harmful ingredients. What are your favorite food swaps",No,0.16205215454101562
3186460533115978783,Get in my belly !!! Healthy fish n chips done in the air fryer 275 calories instead of an store bought take out !! . . .,Yes,0.15609383583068848
3186460139782939813,,no,0.15697693824768066
3186402970372162720,What else would you like to add to this list?,No,0.15665507316589355
3186359794791533457,"How much water do you drink? Sometimes its easy to forget and not drink enough. Keep water on hand, and drink it often! Dont wait until youre thirsty to drink, as even mild dehydration can cause headaches. Look to drink two litres of water over the day; you can always add sliced citrus fruits, cucumber, mint, or rosemary for extra flavour. If you struggle to remember to drink regularly, head to our FREE app, where you can set a daily reminder.",yes,0.15549516677856445
3186214369573815201,"Egglife Wraps made french yoast style! Delicious! When you need to be Gluten Free & need to avoid high sugary carbs to avoid Dumping Syndrome.. this was a win win! The first one I filled with some cream cheese in the middle.. but what would be better, is if I swap eggkife wraps to make my homemade polish crepes filled with my sweet farmers cheese filling recipe ! I preferred the plain wrap with my Cary SF syrup. Next time Ill spread a little SF Fruit Spread in the middle! I think they will be amazing! requires and lots of being is",No,0.15849685668945312
3185961811870623218,Discover the undercover culprits of hidden sugars lurking in everyday products! From sneaky sources like condiments and cereals to your favorite yogurt brandsRD Donna exposes unexpected sugar-filled products. But fear not! Shes here with a guide to healthier alternatives that won't compromise on taste. Join us on this sugar-busting journey and reclaim control over your nutrition!,Yes,0.15448927879333496
3185921051645900377,It's food O' clock.,yes,0.15603017807006836
