pk,caption_text,output,inference_time
./posts/healthysubstitutes/2023-09-20/images/post_3120699629972706965.jpg,ROAD TRIP MARE SUBSTITUTIONS wee TO Oe ZOBAL ONMUTEIN,no,0.15766382217407227
./posts/healthysubstitutes/2023-09-20/images/post_3164895852044972792.jpg,"a a, ee cele favourite swap? fe +, TELL ME IN THE COMMENT SECTION",no,0.15398001670837402
./posts/healthysubstitutes/2023-09-20/images/post_3146730228004995777.jpg,Pasta  Zucchini Chins  Carrots Milk  Almond Milk {CH mem TC lg Butter  Sadness Cheese  Nope Tacos  this is stupid... MU,No,0.15028786659240723
./posts/healthysubstitutes/2023-09-20/images/post_3183472506869796073.jpg,"N trition Facts . -g, Serv. size: 2 Ths (30mL)s ee Calories 140, Teta fa Sodium 72O-ng {9 Total Carb. > A T fear mre OCU La SL 4 ra ; one MUL Uataa Ta aCe 01: ra eT Uo Um an ous : aE ASLO RIOT aera ce ipa UC RN Ta cs BSaismi tat Tall Set 4 BRU uC ats in a Nes aS ele",No,0.16080570220947266
./posts/healthysubstitutes/2023-09-20/images/post_3079554790003722968.jpg,,no,0.1562178134918213
./posts/healthysubstitutes/2023-09-20/images/post_3082275542375605591.jpg,t als | ae  CMA A th .,no,0.15067481994628906
./posts/healthysubstitutes/2023-09-20/images/post_3113686462499724407.jpg,,no,0.15099811553955078
./posts/healthysubstitutes/2023-09-20/images/post_3079342108218038207.jpg,& InnoHealth &o91-98108 80970 HEALTHY EATING STARTS WITE HEALTHY SWAPS SPARKLING LEMON WATER SODA EB sanoheatt: rurons BB ses ute py,No,0.15684723854064941
./posts/healthysubstitutes/2023-09-20/images/post_3155070057369851594.jpg,,no,0.15134429931640625
./posts/healthysubstitutes/2023-09-20/images/post_3104169714918137042.jpg,"8 5. PINEAPPLE Trv this when vou re craving a sugary beverage. This tropical fruit is loaded with fiber, vitamin C and bromelain, an enzyme that may help with inflammation and digestion Wiw.momsuithbods.com",No,0.15410804748535156
./posts/healthysubstitutes/2023-09-20/images/post_3155066477684585527.jpg,,no,0.15347886085510254
./posts/healthysubstitutes/2023-09-20/images/post_3189218828466680752.jpg,,no,0.15308284759521484
./posts/healthysubstitutes/2023-09-20/images/post_3156123309419402356.jpg,,no,0.15151500701904297
./posts/healthysubstitutes/2023-09-20/images/post_3161778273762110029.jpg,,no,0.15915918350219727
./posts/healthysubstitutes/2023-09-20/images/post_3082275542400816364.jpg,,no,0.1520249843597412
./posts/healthysubstitutes/2023-09-20/images/post_3083169678340171571.jpg,,no,0.15389680862426758
./posts/healthysubstitutes/2023-09-20/images/post_3146677633395841819.jpg,,no,0.15413808822631836
./posts/healthysubstitutes/2023-09-20/images/post_3164276749727338049.jpg,"es ig Fe on 7 > We? & o ge oe, eh!  * ! 4 phe te 3 | : o ~ | Ss of ~~  =",No,0.15453195571899414
./posts/healthysubstitutes/2023-09-20/images/post_3080739999083749762.jpg,,no,0.15402889251708984
./posts/healthysubstitutes/2023-09-20/images/post_3189394071382825283.jpg,rete ee eat 1) > | ene iaee) IF YOU LIKE MY NEWS THEN LIKE SHARE AND FOLLOW,no,0.14864420890808105
./posts/healthysubstitutes/2023-09-20/images/post_3093138594437743401.jpg,Yhasy Wars lo Rock Wee Yon Ir Sila COnSUE PUAN,No,0.14802002906799316
./posts/healthysubstitutes/2023-09-20/images/post_3165928333829398833.jpg,Con ne | Caan r mart rte a) wATd WEAN RM ee,No,0.1472771167755127
./posts/healthysubstitutes/2023-09-20/images/post_3164895852154052604.jpg,( InnoHealth 93549 6538? HEALTHY EATING STARTS WITH HEALTHY SWAPS a HERBAL TEA BUBBLE TEA OB anroneatt rutrtices ,No,0.14767694473266602
./posts/healthysubstitutes/2023-09-20/images/post_3190363620135542355.jpg,,no,0.1486067771911621
./posts/healthysubstitutes/2023-09-20/images/post_3136705076420816631.jpg,"arm eC latN Substitutes Explore natural alternatives like tresh fruit, unsweetened vogurt, or HOTDACCD HCG CCE CeL OCI UTE EE| sweeteners to satisfy vour sweet tooth while minimizing sugar econ",yes,0.15418696403503418
./posts/healthysubstitutes/2023-09-20/images/post_3102034053654172873.jpg,,no,0.15606117248535156
./posts/healthysubstitutes/2023-09-20/images/post_3152031690445299189.jpg,2. Avocado instead of mayo. Swipe >,No,0.15354609489440918
./posts/healthysubstitutes/2023-09-20/images/post_3189216709042854020.jpg,,no,0.15107464790344238
./posts/healthysubstitutes/2023-09-20/images/post_3124415920880252347.jpg,,no,0.15163397789001465
./posts/healthysubstitutes/2023-09-20/images/post_3136705076831945064.jpg,Three Simple for Managing Sugar ererirernnypecevarcours QRS CCM Veen cL Ad,No,0.15368008613586426
./posts/healthysubstitutes/2023-09-20/images/post_3104169714909768382.jpg,2. FIGS Are sweet. hearty and full of flavor all qualities that make them a great substitute. They re also a great source of fiber. Wi momswithbods.com,No,0.15049195289611816
./posts/healthysubstitutes/2023-09-20/images/post_3185122513095760816.jpg,,no,0.14944005012512207
./posts/healthysubstitutes/2023-09-20/images/post_3186692017598032357.jpg,,no,0.15549612045288086
