pk,caption_text,output,inference_time
./posts/foodsubstitutes/2023-09-13/images/post_3032999789067965010.jpg,FOOD GEM O On y 80 calories!  IP grams of orotein Ce eer SS SUeS LC SIEw COTE C other gree yogurt rear corn eG Os Gated Ole Loam Y,No,0.1487598419189453
./posts/foodsubstitutes/2023-09-13/images/post_2992562060118961019.jpg,"Baking Substitutes For Healthier Options t sugar we a  * . wheat flour a oe, . 3 carola oll - milk > > cocenut - sugar avocade oil + a almond milk",No,0.15332388877868652
./posts/foodsubstitutes/2023-09-13/images/post_3125172564927074714.jpg,HOT DOGS Processed meats are loaded with salt & contain saturated fats which can raise your risk of certain cancers such as colorectal and breast cancer. INSTEAD Foods that are low in salt but high in protein. Tofu is a delicious option and lean meats also can fill my crave.,yes,0.15646600723266602
./posts/foodsubstitutes/2023-09-13/images/post_3104905580949911377.jpg,,no,0.15714478492736816
./posts/foodsubstitutes/2023-09-13/images/post_3053478442965740227.jpg,"5, 2 Tbsp of honey contains 35g of carbs Instead use 1/2 cup of berries which contains only 8g of carbs",No,0.1590268611907959
./posts/foodsubstitutes/2023-09-13/images/post_3155070057369851594.jpg,,no,0.1523890495300293
./posts/foodsubstitutes/2023-09-13/images/post_3104905579498677744.jpg,Glass of milk for Plain yogurt a,No,0.1512911319732666
./posts/foodsubstitutes/2023-09-13/images/post_3166676958145839288.jpg,. & Dag Ie 2 conu  ST ALTE Sail |,yes,0.15477418899536133
./posts/foodsubstitutes/2023-09-13/images/post_2929857729985670719.jpg,,no,0.15698003768920898
./posts/foodsubstitutes/2023-09-13/images/post_2909118142581660653.jpg,,no,0.15452003479003906
./posts/foodsubstitutes/2023-09-13/images/post_3155066477684585527.jpg,,no,0.15942668914794922
./posts/foodsubstitutes/2023-09-13/images/post_2936045395345966246.jpg,,no,0.15912604331970215
./posts/foodsubstitutes/2023-09-13/images/post_3066854822145976200.jpg,> Zucchini Okra / Mushrooms,yes,0.15278100967407227
./posts/foodsubstitutes/2023-09-13/images/post_3104905579473526507.jpg,,no,0.1554112434387207
