pk,caption_text,output,inference_time
./posts/eatthisnotthat/2023-09-19/images/post_3189876380912221950.jpg,,no,0.15514588356018066
./posts/eatthisnotthat/2023-09-19/images/post_3182502407463273393.jpg,SWAP THIS FOR THAT LUNCH EDITION a PLASTIC STAINLESS STEEL BENTCO PLANET BON a: fils ay ! 4 ~ ~~ Gy 7,No,0.15142583847045898
./posts/eatthisnotthat/2023-09-19/images/post_3187634676445217513.jpg,,no,0.1544339656829834
./posts/eatthisnotthat/2023-09-19/images/post_3188562760652181324.jpg,,no,0.15725374221801758
./posts/eatthisnotthat/2023-09-19/images/post_3194703155565369715.jpg,Now in the Hazard Guide Food: Safety & Poisoning Safety Information oR  ns es iv) Prepare x React __ Recover 0,No,0.15615296363830566
./posts/eatthisnotthat/2023-09-19/images/post_3188048770810668991.jpg,"Some Important Health oa Facts For You Reals genet  & Aan Apo.e a Day Salmon:  ay. Lb oewer a Day No Gectors No Cane er Me Fat ae: Ve gass min a Cay dates ab lay, 1 time graye a Cay Ne Bore freblems Neo wweaktess No Tension",yes,0.15215325355529785
./posts/eatthisnotthat/2023-09-19/images/post_3188410866600655455.jpg,,no,0.1600790023803711
./posts/eatthisnotthat/2023-09-19/images/post_3194421905014963083.jpg,,no,0.15502405166625977
./posts/eatthisnotthat/2023-09-19/images/post_3190307375369845389.jpg,"COMMON ACNE TRIGGERS Ted aR Me UTE OE _""  ~ Webeh  OROTEIN ENERGY DRINKS OE ARUTS | PEANUT BUTTER pl, \ A? SHOTS / RFOTIN CHLORINE boos SURDLEMENTS  = /  / o x  VABES FARR C SOCTERNERS, SMELLE ISH SLENTED DETERUENT",No,0.15681171417236328
./posts/eatthisnotthat/2023-09-19/images/post_3188562760618717060.jpg,,no,0.1557178497314453
./posts/eatthisnotthat/2023-09-19/images/post_3190313008277354714.jpg,,no,0.15349197387695312
./posts/eatthisnotthat/2023-09-19/images/post_3186712280612224795.jpg," me  4 Fa tt """,No,0.1552720069885254
./posts/eatthisnotthat/2023-09-19/images/post_3192464479509754113.jpg,,no,0.1507399082183838
./posts/eatthisnotthat/2023-09-19/images/post_3186230394877494467.jpg,,no,0.15243077278137207
./posts/eatthisnotthat/2023-09-19/images/post_3190480999740305515.jpg,,no,0.15212488174438477
./posts/eatthisnotthat/2023-09-19/images/post_3194162226369799637.jpg,,no,0.14945101737976074
./posts/eatthisnotthat/2023-09-19/images/post_3186699487121190492.jpg,,no,0.14872002601623535
./posts/eatthisnotthat/2023-09-19/images/post_3193781167408912850.jpg,HEALING WITH FRUIT Just a few of the MANY benefits. Fruit is medicine!  eon ay Apples anti cancerous heavy metal detoxifying radiation protection eat the skin! 4  Pomegranate oral health hormone support blood building Cherries pain reducing nerve soothing sleep aid darker the better! Watermelon boosts athletic performance muscle recovery emotional support,No,0.15027689933776855
./posts/eatthisnotthat/2023-09-19/images/post_3190305165865504720.jpg,Things | no longer believe EAT LESS TO LOSE WEIGHT Uf negatve bioleedback Degirs to show ui Check ons ardor te coact suspected melabsiic adapranuon. agapive therm Genesis was Staring fo slow progress of Cause a Plafea a get brea car be ompemeried strategcady fo epabre ine cherctts continue to see fat loss progress * Signs of adaptations: Pnegy is vety OW Tired ever attest & hours of sleep Rey ng on caffe 1e to get borough [ne Gay . fitc is doan Recovery trom wer'outs Is Laking  ger Persistent canges to or loss of your menstrual cy & Moca ness Bra tog Can see acig crease avhongecburgry alive time oa loss of tuvger Poo 5 e&p qual ty insome a,No,0.15018105506896973
./posts/eatthisnotthat/2023-09-19/images/post_3192396627414842702.jpg,,no,0.14506077766418457
./posts/eatthisnotthat/2023-09-19/images/post_3189860762205716697.jpg,,no,0.14487504959106445
./posts/eatthisnotthat/2023-09-19/images/post_3191709597474587191.jpg,Foods That Contain Almost Zero ay iclove-Scalories  1/2 cup - 10calories <> 1/2 cup - 8calories 1/2 <a - 3calories 1/2cup - 28calories ee 1/2 cup - 9calones 1/2 cup - 1Scalories 7 f 26calories 1/2 cup - 13calories 1/2cup - 23calories 1/2 cup- 12calories HealthyFoodAdvice ories . jw Sy 1/2 cup - 29calories d 1/2 cup - 13calortes * f 4. 1/2 cup - 15calories 1/2cup - 22calories  1/2 cup - 11 calories Po 1/2 cup - 9calories,No,0.15420007705688477
./posts/eatthisnotthat/2023-09-19/images/post_3194645691913464609.jpg,,no,0.15155291557312012
./posts/eatthisnotthat/2023-09-19/images/post_3194978837100540767.jpg,aie Pipes Sat a! Phare .,yes,0.15398907661437988
./posts/eatthisnotthat/2023-09-19/images/post_3190305166066952688.jpg,"Things | no longer believe EAT LESS TO LOSE WEIGHT Growing Go bbe. eved taal weg i! O85 Wwelh a gless Agdg wbre we ght resulbcheatey oOoE Papper Teaceore cect thete soa Prrrlte os aa Te sc ele To sappor eal ry  4 Che lost pecno eb pheeroeroreal you aids aed rg forse feel ust Sy canpeciig 6 ca led siete NOt dea yu bow, ras ae nese od Calodes arg 6 Corsecurg al >of ererg, becanse tfeels toatl tray reencigy  stalbeqgae ght fat less Inorder te ce ve se Tas Ios re peratiee to eal exoug ca oes foo a Sw gear acult",No,0.1523747444152832
./posts/eatthisnotthat/2023-09-19/images/post_3192396627414694157.jpg,,no,0.15177702903747559
./posts/eatthisnotthat/2023-09-19/images/post_3190357743583659367.jpg,,no,0.1488351821899414
./posts/eatthisnotthat/2023-09-19/images/post_3190313008302603266.jpg,"0 SI TES EN DIET ET QUE TU VEUX FACILITER TON DEFICIT CALORIQUE, BOIRE DE L'EAU AVANT LES REPAS PEUT TAIDER A REDUIRE LA SENSATION DE FAIM, CE QUI PEUT ETRE UTILE POUR TA PERTE DE POIDS. CUUNMIBEICIN TIE NETEIS",No,0.15103673934936523
./posts/eatthisnotthat/2023-09-19/images/post_3189937140229639392.jpg,,no,0.14736199378967285
./posts/eatthisnotthat/2023-09-19/images/post_3189782310659513391.jpg, RENFORCE TA CONCENTRATION GRACE AU CHOCOLAT NOIR. CHUAMBRIN HEAL TIN,No,0.15031790733337402
./posts/eatthisnotthat/2023-09-19/images/post_3188062885360537943.jpg,(\) ao ee :  reo ~ & > w ow yy 2a * z Foy yet,No,0.1448688507080078
./posts/eatthisnotthat/2023-09-19/images/post_3184192529817010479.jpg,ye al gio Nor i,Yes,0.14754891395568848
