pk,caption_text,output,inference_time
./posts/foodswaps/2023-09-12/images/post_3179707984519248001.jpg,9.36 FAT DVP FOR (PER 1 BAR) 3.76 FAT,yes,0.1573951244354248
./posts/foodswaps/2023-09-12/images/post_3184812116507481233.jpg,To know more about nutritional programs drop us a message +) 9 QV WW,no,0.20007801055908203
./posts/foodswaps/2023-09-12/images/post_3177187754173219247.jpg,BADA BEAN BADA BOOM CHIPS 7P,yes,0.1661839485168457
./posts/foodswaps/2023-09-12/images/post_3181801036989743809.jpg,"te es we oriFO, lr0, tee eer i Ginger a VaatBe Cots leman Ny = F = Pc vlPo, oryre. :- FO =: Qo :: Memeter Orange Vane Sgoereae Chane faaot Barer e ve ve",No,0.1582779884338379
./posts/foodswaps/2023-09-12/images/post_3181360191025304974.jpg,Popcorn instead of nuts,No,0.1558992862701416
./posts/foodswaps/2023-09-12/images/post_3175553902391267861.jpg,"j TENOERS Teas Brocco! INE BEA S, CARROTS  BABY CORN SM Oways vavae",No,0.15779972076416016
./posts/foodswaps/2023-09-12/images/post_3176794275702458996.jpg,"TIP Sab your agrec eats tothe ower faten ent vers on suchas Regu at mayo > 25e, fat free mayo Hutte ex PP Le auite ex Ong Beefimnce > betta ear beef ace FulCeT  Ligeti  Repu at Cheese P ess fatcheese",Yes,0.16048216819763184
./posts/foodswaps/2023-09-12/images/post_3175158845763128691.jpg,"Ingredients. Sugar, palm oil, Hazelnuts, Skimmed milk powder, Fat- reduced cocoa, Emulsifier: lecithin (soya), vanillin. 21 g sugar per serving Ingredients: Ciganic Hazclntits. Organic one . Coconut sugar, Organic Cacne Powder, Organic Coconut MCT OL Organic Vanila Artisana AAsoUN Tt aks ty Og sugar per serving",yes,0.16057491302490234
./posts/foodswaps/2023-09-12/images/post_3179255013428557010.jpg,dr LQFS Nutritionisht Kashish Sharmo LUCKY QUEEN SWAP THIS FOR THAT frad Jad reife end Gobed Jad ) Ren ace e | caeed focus east om? erly Co oles _- 2 GETFITWITHKASH,No,0.1551039218902588
./posts/foodswaps/2023-09-12/images/post_3186460529618029496.jpg, Vio go caught sk nless ho Portions % Garden salad crerch Coes i] sdot chips Dinner Totals 275 cals Oinner Macros,Yes,0.15688490867614746
./posts/foodswaps/2023-09-12/images/post_3186214356017983895.jpg,,no,0.15611004829406738
./posts/foodswaps/2023-09-12/images/post_3185961796623053840.jpg,"TIPS FOR REDUCING SUGAR INTAKE WITHOUT SACRIFICING TASTE e Use less of the sugar  Use truits; such as raisins, dried truits, dates, bananas, apple sauce, unsweetened jams e Use extracts: such as vanilla, almond, maple, orange or lemon e Use spices; such as cinnamon, nutmeg, cloves, ginger",yes,0.15642690658569336
./posts/foodswaps/2023-09-12/images/post_3181801036998183267.jpg,GR,no,0.1552739143371582
./posts/foodswaps/2023-09-12/images/post_3189048097702272840.jpg,,no,0.15711498260498047
./posts/foodswaps/2023-09-12/images/post_3180305856915165121.jpg,"ini Nood| Spaghetti me a a > , ~ at; st ao. gry ay ay NY ad ey. wo oo \ f Sah Wrist pasta adso ule y neeas to be consumed in moderator Ugan oe eaten mindfully. . you Gov? have to have soodles instead? Zuce aint s amazing to ncluce N your pasta ashes though.",No,0.15465307235717773
./posts/foodswaps/2023-09-12/images/post_3175823538309563779.jpg,,no,0.15741896629333496
./posts/foodswaps/2023-09-12/images/post_3180403023700968181.jpg,ce Popcicies Strawberry Greek Yogurt Popsicle What You Need: 12 ounces plain Greek yogurt 2 cups diced strawberries 1/4 cup honey or maple syrup _ 2 tablespoons lemon juice 1 teaspoon vanilla coroten 5 Ingredients a-,yes,0.1570417881011963
./posts/foodswaps/2023-09-12/images/post_3181360191017045499.jpg,Porridge instead of granola,No,0.15709686279296875
./posts/foodswaps/2023-09-12/images/post_3180403023952667609.jpg,"Like this type of content? Be sure to like, comment, and share! w V a-",no,0.15941405296325684
./posts/foodswaps/2023-09-12/images/post_3177296066931903621.jpg,E food swaps to increase protein ! ( Swipe >,No,0.16724205017089844
