pk,caption_text,output,inference_time
3188935629237568624,this place is really very beautyfull my best place 21w,No,0.1548469066619873
3188775912101718831,Drop a  if this helps! If you want more information like this type Yes . . Tag someone!! If you want to Lose Weight & Get Stronger and achieve your GOALS! If you don't know how to start Smoothie diet properly or do you want to lose possibly 5-12 Ibs in the first week alone with Smoothie ? Join our 21-Days Smoothie Challenge NOW to start a successful weight-loss journey and enjoy a new lifestyle! Check the LINK  in my bio ( ) . . . . . . . .,No,0.15287303924560547
3188562765895085755,"Nachdem ich die letzte 6 Wochen nicht zuhause war und nicht wirklich gekocht habe, ist mein Kontingent an Rezepten jetzt erschpft. Hier habe ich aber noch leckere Lowcarb Pancakes gefunden die ich allerdings mit einer Backmischung von gemacht habe. Muss aber dazu sagen das es die beste ist die ich je probiert habe. Die Pancakes sind super fluffig und schmecken extrem gut. Ich hab noch Pfirsiche dazu aufgeschnitten und den Maple Sukrinsirup ebenfalls von darber gegeben. Wenn ihr Lust habt die Mischung auszuprobieren mit Simonsfitness bekommt ihr 5% auf eure Bestellung . Es lohnt sich  Schnen Sonntag meine Lieben ",yes,0.15340495109558105
3188457960924946352,"Elevate your health with Pure Nature!  As seen on Forbes and trusted by wellness enthusiasts worldwide, our superfood blend is the ultimate choice for instant vitality.  Don't wait for a healthier tomorrow - seize the opportunity now! Join the community of health-conscious trendsetters who've already experienced the Pure Nature difference.  Tap 'Add to Cart' and unlock your path to wellness.",no,0.15045571327209473
3188422910134703417,MEDICINES FROM NATURE  Have you tried to be on many crazy diets or strict exercise programs but still can not lose weight? You're looking for a new and healthy way for natural weight loss? We got your answer. All you have to do is check the link in our bio and find yours . . . .,No,0.15222787857055664
3188410871147169633,Pork chop! Brined then sous vide and finished on the Came out perfect!  side of cauliflower mushroom risotto and side salad.,yes,0.15166521072387695
3188062885360537943,Rindu itu berad mungkin kata-kata ini bisa mewakili perasaan seorang ibu tatkala buah hatinya mondok di luar kota Lantas bagaimana caranya menepis rasa rindu tersebut ? Salah satu caranya yaitu dengan mengunjungi sang buah hati dan tak lupa membawakan makanan kesukaannya  Jazakillahu Khairan for your repeat order & trust in Carista Marita bestie Semoga Chicken Spaghetti Brulee ini bisa mengobati kerinduan seorang ibu terhadap buah hatinya  ~~~~~~~~~~~~~~~~~~~~~~ Apakah kamu ingin mengunjungi buah hatimu? Ingin membawakan makanan kesukaannya? Yuk kepoin menu di Carista Marita siapa tau ada makanan kesukaannya  Untuk pemesanan boleh wa.me/62882000363463 Atau,No,0.15082812309265137
3188048770810668991,Drop  if this is useful Credit by: unknown,no,0.15923500061035156
3187957763781263725,Change mindset & your diet  You cant have one without the other!!,No,0.1591169834136963
3187634682468295894,"The trick to eating more veggies is to drown them in yummy dressings and sauces! Okay, maybe not drown them, but slather generously? These are a few easy peasy ones I got from Bee, the chef at . Feel free to customize as per your taste. I didn't add oil to any of them and they still tasted yummy! BASIL DRESSING: 1 cup basil leaves, 1/4 cup lime juice, 1/2 tsp Himalayan salt, 1 tsp black pepper, 1 tbsp black olive, 1 tbsp garlic powder and 1/4 cup olive oil (omit to make it oil free). Blend with around 1 /2 cup water (give or take) to your desired consistency. SESAME DRESSING - 1/2 cup sesame seeds (I used tahini instead), 1 tbsp ACV, 1 tbsp parsley, 1/2 tsp Himalayan salt, and 1/4 cup olive oil (optional). Blend with around 1/4 cup water or vary as per the consistency you want. PINEAPPLE MUSTARD DRESSING - 1 cup pineapple, 1 tsp mustard seeds (soak for 3 hours), 1 clove garlic, Himalayan salt and pepper to taste, 1/2 tsp cayenne pepper, 2 tbsp lemon juice, 2 dates and 1/4 cup olive oil (optional). Blend everything with water. I used the pineapple dressing along with a mayonnaise (vgn) I made earlier for this zucchini and carrot zoodle salad. It was delicious! If you keep the consistency slightly thicker, these can also be great for pastas and rice.",yes,0.15250015258789062
