pk,caption_text,output,inference_time
./posts/foodswaps/2023-09-08/images/post_3186460529618029496.jpg, Vio go caught sk nless ho Portions % Garden salad crerch Coes i] sdot chips Dinner Totals 275 cals Oinner Macros,Yes,0.15918421745300293
./posts/foodswaps/2023-09-08/images/post_3186214356017983895.jpg,,no,0.16360211372375488
./posts/foodswaps/2023-09-08/images/post_3185961796623053840.jpg,"TIPS FOR REDUCING SUGAR INTAKE WITHOUT SACRIFICING TASTE e Use less of the sugar  Use truits; such as raisins, dried truits, dates, bananas, apple sauce, unsweetened jams e Use extracts: such as vanilla, almond, maple, orange or lemon e Use spices; such as cinnamon, nutmeg, cloves, ginger",yes,0.15953993797302246
./posts/foodswaps/2023-09-08/images/post_3186683133142478187.jpg,5 HEALTHY FOOD SWAPS YOU CAN MAKE TODAY SWAP THIS FOR THAT i,No,0.15507888793945312
./posts/foodswaps/2023-09-08/images/post_3186214358324832138.jpg,,no,0.15458011627197266
./posts/foodswaps/2023-09-08/images/post_3186214355908947363.jpg,,no,0.15350794792175293
./posts/foodswaps/2023-09-08/images/post_3186460139782939813.jpg,Eetswitchen die ik als gewichtsconsulent maak: rr -.)  Pvoironew ~ veka  za : Per 100 gram. 735 kcal of 99 kcal ~s Pex stuk: 52 kcal of 27 kcal Per flesje: 123 kcal of 76 kcal Per stuk: 215 kcal of 28 kcal AL,No,0.20102596282958984
./posts/foodswaps/2023-09-08/images/post_3186683133117261482.jpg,5 HEALTHY FOOD SWAPS YOU CAN MAKE TODAY SWAP THIS FOR THAT,No,0.1626737117767334
./posts/foodswaps/2023-09-08/images/post_3186756710294100393.jpg,,no,0.1599867343902588
./posts/foodswaps/2023-09-08/images/post_3186683133125639178.jpg,5 HEALTHY FOOD SWAPS YOU CAN MAKE TODAY SWAP THIS FOR THAT,No,0.16983866691589355
./posts/foodswaps/2023-09-08/images/post_3185282932774332081.jpg,"SLIMME wissels DANIO KWARK LINDAHLS KWARK op kcal 190  37 keal 29 evetten 3.7  suikers 3. eiwitten 10,1 woe oO. 2 vetten 2 suikers g ewitten  is as reap diye kd dane",No,0.16406488418579102
./posts/foodswaps/2023-09-08/images/post_3186460529609574135.jpg,,no,0.18263602256774902
./posts/foodswaps/2023-09-08/images/post_3186402963627765103.jpg,OG BEST FOOD SWAPS FOR Swipe Right,yes,0.16480398178100586
./posts/foodswaps/2023-09-08/images/post_3186214355590166511.jpg,,no,0.15570831298828125
./posts/foodswaps/2023-09-08/images/post_3186402963636163257.jpg," ~ -~ =e ae e Pe, , Bees i, FS INSTEAD OF EAT CHOLA BHATURE CHOLA PARATHA Chola/Chickpeas are loaded with nutrition. But when you eat it with deep- fried maida bhatura it becomes one of the unhealthiest foods on earth.",Yes,0.15717101097106934
./posts/foodswaps/2023-09-08/images/post_3186769071597465545.jpg,True or False: You can have a from Starbucks everyday and still lose weight.,No,0.15447187423706055
./posts/foodswaps/2023-09-08/images/post_3186402963627709940.jpg,WHICH FOOD SWAP CAN YOu AT ANY COST?,No,0.15049386024475098
./posts/foodswaps/2023-09-08/images/post_3186402963476957866.jpg,alll _ ais IM INSTEAD OF CHIPS EAT POPCORN Eat popcorn instead of deep-fried chips. Popcorns are air- popped which means they do not contain oil.,No,0.15140390396118164
./posts/foodswaps/2023-09-08/images/post_3185961795952743767.jpg,"HIDDEN SUGARS By Donna Hayek, RD | Swipe to Learn More 2) Princeton Longevity Center",no,0.15302276611328125
./posts/foodswaps/2023-09-08/images/post_3185961797159877254.jpg,BEWARE OF ALTERNATIVE NAMES FOR SUGAR BELOW Sugar or Brown Sugar  e Organic Sugar  Glucose e lovert Sugar |e Fructose  Barley Male  Caramel  Maltodextrin. Cane Juice ) : ww? . Polydextrose Inulin Sucrose  Corn Syrup Dextrose * Tigh Fructose Corn Syrup  Oligotructose >),yes,0.15218615531921387
./posts/foodswaps/2023-09-08/images/post_3186683133167476168.jpg,5 HEALTHY FOOD SWAPS YOU CAN MAKE TODAY SWAP THIS FOR THAT,No,0.1555640697479248
./posts/foodswaps/2023-09-08/images/post_3186699487121190492.jpg,A Z tb PLE a TR,No,0.15304112434387207
