pk,caption_text,output,inference_time
3190747082443153507,"Every morning before I even start my day, I estimate everything I think Ill be having & input it into my tracker  I know roughly what Im having, I can tweak if needed & it allows me to not worry about saving calories for dinner ",yes,0.16911101341247559
3190589957533598456,Thai green curry broth with coconut milk and Turkey meatballs over basmati rice. Perfect spice and flavors,yes,0.1526501178741455
3190576007949462389,"Je vais partager pas mal de connaissances sur ce compte, n'hsite pas galement  me poser des questions en dm sur des sujets qui t'intresse.",no,0.15845298767089844
3190541382619990892,"News flash: The way you think about the scale is about to change . Non-scale victories are successes that are unrelated to the number on a scale. . These victories focus on progress, personal growth, and other forms of self-improvement outside of tracking your scaled weight. . Non-scaled victories are important because it helps you find success in your health and weight loss journey beyond the number on a scale. . Non-scale victories are just as important, if not more important than the scale, and should be celebrated for the progress and effort that you have put in. . Remember, its not about the number on the scale but rather about the lifestyle changes you have made to reach your health and wellness goals. . Celebrate the small wins, keep going and I promise you that when you do, the weight loss will follow. . Let weight loss be the side effect of you learning how to love yourself  . I understand how hard it can be to stay motivated when you feel like things are not going your way. Ive been there myself. . That is why I am so passionate about helping people like yourself lose weight and get strong. Send me a  in my DMs if you are looking for help. . Love, Em  . . .",No,0.15122294425964355
3190519680192215501,"Have you heard that electrolytes are important for a successful transition to ketosis? The body needs these minerals to regulate its metabolism. But as we make the metabolic switch to burning fat for energy, the body lets go of retained water, flushing sodium, potassium, and magnesium out with it. The result is electrolyte imbalance and flu-like symptoms that can be easily avoided with proper supplementation. Experts suggest 5000mg sodium, 1000mg potassium, and 400mg magnesium (in glycinate or malate form) per day. Although you can take the one at a time, there are several all-in-one options designed specifically for keto. Redmond Re-Lyte is one of these. Sweetened with stevia, it contains 810mg sodium, 400mg potassium citrate and 50mg magnesium malate & glycinate per 6g scoop. To compare with another brand, one Liquid I.V. stick pack (6g) contains 11g of added sugars (the first ingredient on the list, followed by dextrose and citric acid) and only 500mg sodium, 370mg potassium, and zero magnesium. You decide...",yes,0.15283918380737305
3190480999740305515,"Okay, so the other day...kimchi fried rice using black beans rice",Yes,0.15113496780395508
3190357743583659367,zuppa di mussels,yes,0.15065383911132812
3190353837352940944,"more than just dessert, cannoli cream zeppoles",yes,0.1557927131652832
3190347174865486471,Customer satisfaction is worthless. Customer loyalty is priceless. ~ Jeffrey Gitomer Meski seringkali order dadakan  In Syaa Allah akan Mimin buatkan selagi bisa  Jazakillahu Khairan wa barakallahu fiik for your repeat order & trust in Carista Marita kak  Enjoy the deliciousness of Beef Spaghetti Brulee in every bite Lope sekebon  ~~~~~~~~~~~~~~~~~~~~~~ Apakah kamu butuh makanan dan minuman? Yuk kepoin menu di Carista Marita siapa tau ada yang cocok dihati  Untuk pemesanan boleh wa.me/62882000363463 Atau,No,0.15187478065490723
3190313013436353548,"L'eau est et restera ta meilleure allie, commence la journe par 2 grands verres d'eau et profite des externalits positives de cette petite attention.",no,0.15680408477783203
3190307375369845389,"Common Acne Triggers Be mindful of possible acne triggers if you are trying to figure out whats breaking you out! Whey protein: whey protein powders and some muscle-building supplement powders are contaminated with androgenic steroids that may be an issue because they can increase hormone levels in the body for some people Energy drinks: aside from being mostly sugar, energy drinks usually contain B vitamins, which can sometimes irritate the skin and increase acne. Peanuts / peanut butter: contain androgen-like hormones which are found in anything containing peanuts, corn oil, wheat germ, shellfish, organ meats Chlorine: too much pool time can cause acne to worsen and dry out Eggs: eggs are full of progesterone, which is an acne-triggering hormone. Our body naturally produces progesterone, so consuming extra hormones can make your hormone levels react negatively Biotin supplements: biotin increases the amount of skin protein we produce, specifically keratin, which is great for hair and nail growth but too much keratin can be pore clogging. B12 shots: High levels of B12, particularly from supplements, can alter the gene expression of skin bacteria like P. acnes, potentially leading to inflammation and acne. Vapes: Vaping causes dehydration which can impact the production of sebum. When you have dry skin, your body produces more oil that tends to clog your pores and cause acne breakouts Fabric softeners/ Scented detergents: Scented laundry detergents, additives, and fabric softeners leave harmful residues that can irritate sensitive skin, cause contact dermatitis, and worsen acne or eczema. Make sure to also wash your sheets often. Remember, we spend half of our lives in bed! Laying in chemicals is not ideal. Shellfish: foods containing iodides are one of the biggest nutritional culprits for triggering acne breakouts. Shrimp, lobster, crab, crayfish, mussels, and clams are all high in iodine, which, in addition to causing breakouts, can also create the appearance of red splotchy skin",yes,0.15655231475830078
3190305171821461463,Hashtag fake news  Lets bust these myths  Which one surprises you?,no,0.15259814262390137
